iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,7.732659861978579,1.991742500962266,2.93523392254027,6.8710546621959
2.0,5.592419830310574,1.500640594965331,2.1322057860736234,4.947417088646074
3.0,4.211472347801032,1.1898156872754146,1.5922103856858336,3.7129104560062096
4.0,3.1388876583161065,0.9614335995402513,1.150765532810608,2.7575351047084355
5.0,2.343048303916424,0.796245816645184,0.8229062493812146,2.0441852310125954
6.0,1.8409279978505393,0.6776725761625088,0.6200963422053333,1.5953859405080737
7.0,1.4754394465392617,0.585919273974007,0.4773973602414297,1.2671668892550696
8.0,1.2322552057752323,0.5147532424744072,0.3912103789019264,1.0490168878343453
9.0,1.0618903900702261,0.45476532282738075,0.33676340542350647,0.8985488915160754
10.0,0.9432863764505344,0.40233066774159015,0.3084869563465597,0.7954589992927487
11.0,0.8187160583400521,0.35069512385123863,0.27411265745434493,0.6871471205747375
12.0,0.7020973221263893,0.3008815371636694,0.24072811279797887,0.5869079365963609
13.0,0.5971836357642953,0.254155120138205,0.2093072582415405,0.49822077574064116
14.0,0.5004482442422611,0.21151461755185635,0.1796071874472236,0.41647481309720474
15.0,0.40920410255162915,0.17316933378494273,0.14850486108079763,0.33971559519241434
16.0,0.3300916568490797,0.1394444916723764,0.12117410897505006,0.2735554257873637
17.0,0.26323129513565624,0.11203167120775165,0.09764997228378161,0.21726505079779831
18.0,0.21100492488612066,0.08907161336303406,0.07910933665474257,0.1741580858678408
19.0,0.1691406093327251,0.07053516663304894,0.06475048658272062,0.13942994829230365
20.0,0.13250626788984587,0.05494204227083633,0.05116189125319447,0.10918673868470265
21.0,0.10287451994163843,0.04261584806784199,0.04008368302738531,0.08461887910886834
22.0,0.07862842942880242,0.03306149526877347,0.030725065839791708,0.06438429757459108
23.0,0.060777668650119264,0.025603789151474925,0.024111676959089397,0.04956811497173382
24.0,0.04631073963680561,0.019715175597552256,0.01823534014730482,0.037728885838012385
25.0,0.03598486760417442,0.01515433261881771,0.014255176401531231,0.029360634276688002
26.0,0.027343176061103723,0.011557215907398057,0.01080850585378442,0.022299243009281926
27.0,0.020843477242699932,0.008865015606082906,0.008344330480604711,0.01691845710167767
28.0,0.01587830037723775,0.006749826755538067,0.006388516576033783,0.012874281245869711
29.0,0.012189849164746774,0.005085715332943241,0.004874730965595482,0.009948111389837179
30.0,0.009245020855541979,0.0038438102545644225,0.0037072309545019095,0.007546653032722147
31.0,0.006965320748457126,0.0029012815818427965,0.0027936318977962913,0.005682770374681894
32.0,0.0052192289980711355,0.0021886670907917496,0.0020690489594271085,0.004262525554584442
33.0,0.003915876600572274,0.0016627163289619693,0.0015614602183361339,0.003182971245058047
34.0,0.0029488019791475166,0.001259630582039465,0.0011582388280296262,0.00240150926008204
35.0,0.002249394877662914,0.0009573148505717542,0.0008824866092073105,0.0018342690579903267
36.0,0.001727529302549471,0.0007278322626822658,0.0006831319398393644,0.0014099462547690186
37.0,0.0013047763833325791,0.0005547567873108768,0.0005138606904478316,0.0010633125167359959
38.0,0.0009891499318238827,0.00041843325203816194,0.00038580941348198935,0.0008090008020296662
39.0,0.0007627781826143194,0.0003176167226062754,0.00029964722265420383,0.0006254292248918932
40.0,0.0005701544696088956,0.00024203555673256338,0.00022306843604333811,0.0004655484736666401
41.0,0.00043506432107247875,0.000183530130474837,0.00017135496682300674,0.0003552958345143276
42.0,0.0003318503837648286,0.0001397345959495328,0.0001314216649309683,0.0002707900771565626
43.0,0.00025008859451205556,0.00010649626269367918,9.89928189269558e-05,0.00020347794214162172
44.0,0.0001927366951612759,8.121985119266421e-05,7.705296536862455e-05,0.00015688725238792862
45.0,0.00014837923889342018,6.238962273991081e-05,5.962574691427886e-05,0.00012070088572117698
46.0,0.00011351791714661689,4.779078806505169e-05,4.543904011429078e-05,9.239941408320381e-05
47.0,8.823827473201518e-05,3.6757244543379924e-05,3.5064222649621737e-05,7.214844690801396e-05
48.0,6.826049884179345e-05,2.836931104557355e-05,2.7275334831207078e-05,5.57739545197893e-05
49.0,5.2035315185365e-05,2.194877391747982e-05,2.080824305988205e-05,4.234315022197222e-05
50.0,4.0536951024649344e-05,1.6978610469302925e-05,1.5982702436245093e-05,3.315907730533137e-05
51.0,3.172483332345909e-05,1.3347289852540943e-05,1.2437638687582496e-05,2.595419131606048e-05
52.0,2.4979940250278883e-05,1.0399632322104236e-05,9.865276037317456e-06,2.0457795364605585e-05
53.0,1.9309325133131722e-05,8.111053503552057e-06,7.575493294117711e-06,1.5801036342920233e-05
54.0,1.4970622782084526e-05,6.306200276670875e-06,5.837496315737349e-06,1.2258671270481858e-05
55.0,1.1777489247438328e-05,4.910708870652315e-06,4.56094514479769e-06,9.684625483072047e-06
56.0,9.330528127604006e-06,3.9093750063331884e-06,3.591285008587837e-06,7.673214071493063e-06
57.0,7.561545880781148e-06,3.136187291351949e-06,2.8946487423219066e-06,6.241979977482712e-06
58.0,6.325376599521373e-06,2.6283751624643083e-06,2.4167505055495323e-06,5.221240286085229e-06
59.0,5.5260285425879405e-06,2.288716054663994e-06,2.1117718092512062e-06,4.564996177465187e-06
