case_id,k,S,relL2,seg_depth,seg_cx,n_qubits,p_success_mean,wall_s
seam_k512,512,1,0.06307283941131236,15837.0,7845.0,11,0.91203,5.4
seam_k256,256,2,0.09081017383874847,15837.0,7845.0,11,0.95454,7.6
seam_k128,128,4,0.10427031430333356,15837.0,7845.0,11,0.97724,10.6
seam_k64,64,8,0.1586997248170924,15837.0,7845.0,11,0.9886,16.4
seam_k32,32,16,0.24827306147211783,15837.0,7845.0,11,0.99409,26.7
seam_k16,16,32,0.44639669973437474,15837.0,7845.0,11,0.9968,44.4
seam_k8,8,64,1.101284609303983,15872.0,7845.0,11,0.998,76.2
seam_k4,4,128,493.46942375212046,15913.0,7845.0,11,0.99825,134.6
seam_k2,2,256,801.4012827752301,15980.0,7845.0,11,0.99795,254.1
