iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,22.437797065296795,5.5422033778445945,8.313305066766892,20.09048724468666
1.0,22.419528725266172,5.5421796222501705,8.330009435729057,20.063161667554166
2.0,22.13474841018496,5.506364822629391,8.27708281685261,19.77667650706909
3.0,21.815505202666287,5.460953785753712,8.168666280097893,19.477349465515417
4.0,21.787659266979976,5.432385113573643,8.164492705416329,19.455907770521666
5.0,21.217367725098516,5.593129329855045,8.03295860469651,18.824589598097475
6.0,21.008213454454605,5.571409044361127,8.186003686918216,18.528188725455596
7.0,20.939015462338187,5.4911128788142,8.26370683638798,18.439121378373564
8.0,20.486190573950772,5.357182425531048,8.118797157939584,18.029690330120562
9.0,21.17483054490823,5.628632122865892,8.472579617650942,18.57168122851527
10.0,20.817697878361404,5.606064889021019,8.493903147791752,18.160456787502675
11.0,20.511243245331052,6.291463995019701,8.498938883166433,17.57545499065988
12.0,20.314570638224218,5.896858908210623,8.814157435936249,17.32684229531129
13.0,20.18695733962502,5.9292073759328945,8.919015583143231,17.111659988226496
14.0,20.185026111039544,5.959068719321341,8.92781895501262,17.0944092559021
