xp, rho, u, p, Mach
0.05,1.0,1.5,0.7142857142857144,1.5
0.15,1.0,1.5,0.7142857142857144,1.5
0.25,1.0,1.4860663982637847,0.6995409510217744,1.50164621230062
0.35,0.8977630081987937,1.5901822906051228,0.5967303772126328,1.6484458088117167
0.45,0.7593054014350462,1.6533540238873299,0.45078180168355436,1.8135389854613464
0.55,0.6076172323112117,1.759970806374185,0.3425194708857271,1.981134016611279
0.65,0.5611425067666839,1.7396124863619358,0.3100231489729459,1.9780078952750242
0.75,0.521602197132282,1.7935495016318523,0.29317031008730876,2.021897161878313
0.85,0.5135651794913478,1.8281988590849987,0.269678799470853,2.1322287641659483
0.95,0.5128798925197982,1.829470994848998,0.2764138069691128,2.106150884501469
