series,shots,trial,final_residual,iters_to_converge,final_l2_abs,final_fidelity,final_linsys_resid,gate_count_median,depth_median,total_generate_s,total_transpile_s,total_execute_s,total_wall_s
2025-11-11,1000,0,0.4391646492008462,14.0,0.10702325929643959,0.8365589097674325,0.4054020766096025,689127.0,689027.0,3593.530087,616.632474,881.779477,5091.942038
2025-11-11,1000,1,2.1552125151246133,14.0,0.21988695957556562,0.207586176566225,2.1850619504262787,689127.0,689027.0,4121.99021,707.664095,1036.377338,5866.031643
2025-11-11,1000,2,1.7747045739890288,14.0,0.1379383590117076,0.2741330282369908,1.913920620578434,689127.0,689027.0,4017.542614,683.382907,967.274584,5668.200105
2025-11-11,1000,3,0.30462975381317897,14.0,0.039013210497835446,0.6375429406518565,0.28535477445800916,689127.0,689027.0,3772.037937,644.875143,897.326149,5314.239229
2025-11-11,1000,4,1.0209135051740243,14.0,0.09563047682432094,0.7037225313316305,0.9361427923362319,343251.0,343170.0,2640.107336,463.640315,606.345817,3710.093467
2025-11-11,1000,5,0.4217304383627226,14.0,0.05005686804786662,0.5506796968939551,0.41935734961177523,343251.0,343170.0,3617.948256,621.392171,1410.954803,5650.29523
2025-11-11,1000,6,0.16976415488732421,14.0,0.025084189276289394,0.792735660895624,0.16953860941943358,689127.0,689027.0,3621.743167,631.268755,881.92413,5134.936052
2025-11-11,1000,7,0.553214213751563,14.0,0.05348520038812432,0.6437382284094486,0.4498728327672528,689127.0,689027.0,4114.045437,717.546245,1034.054284,5865.645966
2025-11-11,1000,8,1.6387689979123832,14.0,0.08850089327339361,0.19883183388019557,1.6395140946000493,689127.0,689027.0,5001.762276,817.099265,2517.577369,8336.438911
2025-11-11,1000,9,3.216054456593707,14.0,0.23268492084405862,0.1565221777508283,3.2993670071137187,689127.0,689027.0,4221.293475,706.333681,2078.074887,7005.702042
2025-11-11,5000,0,0.12857311377832323,14.0,0.39314169339202426,0.9847704193751567,5.155314381219926,689127.0,689027.0,4717.396574,803.906991,1143.783345,6665.08691
2025-11-11,5000,1,0.84564149738584,14.0,0.022942355759228584,0.34870536085579956,0.561798086762932,689127.0,689027.0,8006.499342,1359.07024,1943.552,11309.121582
2025-11-11,5000,2,0.07138887547410694,14.0,0.006689671635716372,0.848222519496171,0.0641164633063825,689127.0,689027.0,7617.696461,1279.609553,1789.265342,10686.571356
2025-11-11,5000,3,0.2225272424777068,14.0,0.007684279249444659,0.37260918396218157,0.20683336044240663,689127.0,689027.0,7811.887976,1349.764617,1927.060723,11088.713316
2025-11-11,5000,4,0.06752078130088446,14.0,0.8954103707148149,0.9687447791905788,7.043498923890379,689127.0,689027.0,4381.319807,749.503886,1081.322196,6212.145889
2025-11-11,5000,5,0.03836477495029881,14.0,0.0016616559458970009,0.8078674375059485,0.03233246633606786,689127.0,689027.0,8066.477979,1370.780033,1959.236019,11396.494031
2025-11-11,5000,6,0.13369466032892388,14.0,0.0046993192748194775,0.4909108748693586,0.10363021529323582,689127.0,689027.0,8152.574146,1370.494448,1933.585482,11456.654075
2025-11-11,5000,7,1.1275952921258012,14.0,0.04512126104771831,0.7045217314222979,1.0435902337528271,689127.0,689027.0,8340.009932,1390.686509,2233.582169,11964.27861
2025-11-11,5000,8,0.5573913460827581,14.0,0.026870249898258543,0.6950449631667805,0.4399738335812126,689127.0,689027.0,8049.524823,1362.373694,1938.855443,11350.75396
2025-11-11,5000,9,0.2012819987063696,14.0,0.010142546307635204,0.7222198750617734,0.17748745765576385,689127.0,689027.0,8214.464884,1366.988766,1939.467143,11520.920794
2025-11-11,10000,0,0.03386881480322152,14.0,0.001301346260860654,0.7562600785748629,0.02838810558165303,689127.0,689027.0,4148.450685,708.686707,1025.339367,5882.476758
2025-11-11,10000,1,0.5493068520403817,14.0,0.025887132666102278,0.8618125910991936,0.4523656381855095,689127.0,689027.0,4275.311894,722.956098,1312.618244,6310.886236
2025-11-11,10000,2,0.09533176201456137,14.0,0.002395481972899155,0.4759176026834923,0.0735913428596498,689127.0,689027.0,4140.287353,714.996862,1028.105529,5883.389743
2025-11-11,10000,3,0.010935412165950086,14.0,0.00027632775768699966,0.9036084282293797,0.00602413431483426,689127.0,689027.0,3901.835782,664.099071,961.449475,5527.384328
2025-11-11,10000,4,0.07110123424660107,14.0,0.0042331650760201395,0.9505007595572752,0.0521468896574115,689127.0,689027.0,4010.659511,683.544311,959.247539,5653.45136
2025-11-11,10000,5,0.007417125204492005,14.0,0.000416994507911731,0.8953407444362922,0.006790124051837995,689127.0,689027.0,4112.614508,715.320928,1021.71751,5849.652946
2025-11-11,10000,6,0.22111568372507034,14.0,0.007868125191343908,0.7039991695416923,0.20706408575513577,688617.0,688517.0,3180.053606,554.154013,735.787143,4469.994762
2025-11-11,10000,7,0.03127921808758887,14.0,0.0007732571147244773,0.4752835415773302,0.0214694908454806,689127.0,689027.0,4171.348858,706.036798,1034.54396,5911.929616
