case_id,NQ_MATRIX,nx,ny,grid_size,matrix_size,condition_number,circuit_qubits,circuit_gates,circuit_depth,circuit_gates_transpiled,circuit_depth_transpiled,qc_shots,qc_backend
hs_torino_sim_run1_0,2,2,2,4,4,1.0,7,1263,953,1263,953,100,density_matrix_sim_aer
hs_torino_sim_run1_1,2,2,2,4,4,1.0,7,1263,953,1263,953,1000,density_matrix_sim_aer
hs_torino_sim_run1_2,2,2,2,4,4,1.0,7,1263,953,1263,953,10000,density_matrix_sim_aer
hs_torino_sim_run1_3,2,2,2,4,4,1.0,7,1263,953,1263,953,100000,density_matrix_sim_aer
hs_torino_sim_run2_0,2,2,2,4,4,1.0,7,1263,953,1263,953,100,density_matrix_sim_aer
hs_torino_sim_run2_1,2,2,2,4,4,1.0,7,1263,953,1263,953,1000,density_matrix_sim_aer
hs_torino_sim_run2_2,2,2,2,4,4,1.0,7,1263,953,1263,953,10000,density_matrix_sim_aer
hs_torino_sim_run2_3,2,2,2,4,4,1.0,7,1263,953,1263,953,100000,density_matrix_sim_aer
hs_torino_sim_run3_0,2,2,2,4,4,1.0,7,1263,953,1263,953,100,density_matrix_sim_aer
hs_torino_sim_run3_1,2,2,2,4,4,1.0,7,1263,953,1263,953,1000,density_matrix_sim_aer
hs_torino_sim_run3_2,2,2,2,4,4,1.0,7,1263,953,1263,953,10000,density_matrix_sim_aer
hs_torino_sim_run3_3,2,2,2,4,4,1.0,7,1263,953,1263,953,100000,density_matrix_sim_aer
hs_torino_sim_run4_0,2,2,2,4,4,1.0,7,1263,953,1263,953,100,density_matrix_sim_aer
hs_torino_sim_run4_1,2,2,2,4,4,1.0,7,1263,953,1263,953,1000,density_matrix_sim_aer
hs_torino_sim_run4_2,2,2,2,4,4,1.0,7,1263,953,1263,953,10000,density_matrix_sim_aer
hs_torino_sim_run4_3,2,2,2,4,4,1.0,7,1263,953,1263,953,100000,density_matrix_sim_aer
