xp, rho, u, p, Mach
0.05,1.0017010140115654,1.4980775416910341,0.7173218771381796,1.4961746567475893
0.15,1.0026261991749492,1.4965667793383084,0.7171348144740279,1.4955509183240525
0.25,0.9771419165498638,1.5198848412043682,0.6873125903943776,1.5316105096897341
0.35,0.879422311953234,1.5970469741611137,0.5982602610745892,1.636467310275656
0.45,0.7190899240619059,1.6900503550454533,0.45331766236822846,1.79897823148675
0.55,0.5827391991358296,1.7822063476181647,0.33917510370812665,1.974327075853891
0.65,0.5195668265356577,1.8352736096586304,0.2871405748835103,2.0864607835043665
0.75,0.49687440587387,1.8562462024373787,0.26805264672358736,2.1359192202843875
0.85,0.48813258067500537,1.8658636468339311,0.2622084813109507,2.151599406500704
0.95,0.4846139414861877,1.876539982963133,0.2585613559990958,2.1712505825992574
