iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,9.799651687620715,4.0425430425485525,4.103196287300497,7.928101864615089
2.0,7.687592282521505,3.9440536283030436,3.5069660282287445,5.58969635635097
3.0,7.685831769722559,3.9181872689476496,3.510893292659889,5.602985526082408
4.0,5.522097568594595,2.833906232724237,2.1244032504704005,4.236678870364836
5.0,4.6585369175705456,2.5249100807513996,2.9090574377139014,2.619958037940507
6.0,4.411721502925195,1.7907259137023515,2.0979016693483405,3.443166552334183
7.0,3.8768805107427293,1.6255770510285772,2.058226544560577,2.8550665906441246
8.0,2.7846660359186175,1.1159120960664157,1.2573380207027574,2.219956357036471
9.0,2.383423745477223,0.9781287613187571,1.4963957252287576,1.5763161834805892
10.0,2.1864332504232173,0.9693428968341989,1.5277804898482374,1.2274980577387478
11.0,1.9081536498220955,0.8638902118930588,0.9657445882454256,1.4007431753892017
12.0,1.3436651243124442,0.46354109928377163,0.7433950538923235,1.0187882063592992
13.0,1.0785591792256854,0.37556964166848134,0.6894250378684604,0.7395474727893164
14.0,1.0501431583942966,0.3679244324627284,0.5905734665118016,0.7865464040802437
