iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,3.0597598574986113,0.653799179288076,1.1559233426750883,2.7565409927263937
2.0,0.950080715408196,0.11686267397324013,0.44005838286540616,0.8338735521002314
3.0,0.6421324836471467,0.0747443503311214,0.28044025387091814,0.5728007268302361
4.0,0.2945108750867487,0.08712352640042285,0.17109217032900825,0.2233240156007118
5.0,0.16861098040563519,0.06636799002137109,0.11183254909773066,0.1073239655257685
6.0,0.041703654824604204,0.017898070526001276,0.02431812718468082,0.028765997069556022
7.0,0.013529307332251446,0.005618166135935961,0.007223602439092315,0.009964834868750945
8.0,0.008572604795407756,0.003174599907007263,0.00484380993747014,0.006320520049674952
9.0,0.005089514104127667,0.00141132873122888,0.0028870921764959263,0.003946644624606876
10.0,0.0008630003043935142,9.384302626088912e-05,0.0005786128895738312,0.0006333799300771361
11.0,0.0005187128413314601,6.37665299348823e-05,0.00034236716007586743,0.00038442368439497277
12.0,0.0004580747267110801,5.524560190246693e-05,0.00030234221270384937,0.0003396609561595286
13.0,0.00045594158667299487,5.506721313366066e-05,0.000301054557242949,0.0003379592964527415
14.0,0.00037444408898838343,4.9263371827190395e-05,0.00025160210316670437,0.00027290635327278
