dq_lu, dq_hhl,
7.986963171733678e-10,1.3069394914715924e-09
2.1984206360804947e-09,0.0
1.1609120186456895e-08,5.69682381016743e-09
4.5495426370330496e-08,2.020481907021741e-08
4.282472394763118e-08,1.611305200128063e-08
1.0850674411306732e-07,4.362130120642782e-08
1.115616978101051e-07,4.241018886988686e-08
1.1660283888878387e-07,4.273117881226696e-08
2.355711675102522e-07,8.78766062882065e-08
7.153670451616798e-08,2.6138822188992753e-08
7.996336059490337e-08,3.152953107685375e-08
1.4312762809315095e-07,5.512441528563902e-08
-1.8489928718304467e-07,-7.32470251043343e-08
-1.608626760172022e-07,-6.276039577425236e-08
-3.58958254080792e-07,-1.4085891062544793e-07
