bond,nu,Re,relL2,cos,verdict
4,0.00015,2000.0,2.875030024067328,0.012057158957569846,diverged
4,0.0002,1500.0,3.4861508867219593,0.012094161782723952,diverged
4,0.00025,1200.0,4.055807784536152,0.012153195735673965,diverged
4,0.0003,1000.0,4.5500855355582175,0.021785579220575585,diverged
4,0.0004,750.0,5.073044496170537,0.03315912018028433,diverged
4,0.0005,600.0,5.682077646651314,0.03601642328708264,diverged
4,0.00075,400.0,7.065775347764547,0.041033392246593116,diverged
4,0.001,300.0,13.542119320734274,0.03984461136179071,diverged
4,0.0015,200.0,13.292013967649462,0.10253987720468907,diverged
4,0.002,150.0,0.4012153778118751,0.9298330516868318,good
4,0.0025,120.0,0.06576244385618533,0.9978499822127245,good
4,0.003,100.0,0.02169821179880253,0.999764732722257,good
4,0.005,60.0,0.0013139642374688403,0.9999991600684414,good
4,0.0075,40.0,0.00027378974485869895,0.9999999835838044,good
4,0.01,30.0,0.00021627355869393767,0.9999999948568771,good
4,0.015,20.0,0.0001992192824075402,0.9999999952434538,good
4,0.02,15.0,0.00018737005693645958,0.9999999957854573,good
4,0.03,10.0,0.00016867414292812678,0.999999997080346,good
4,0.05,6.0,0.00014436736780924547,0.9999999986767436,good
4,0.08,3.75,0.00012266826256751267,0.9999999995779004,good
4,0.12,2.5,0.00010267449603414362,0.9999999998988679,good
4,0.15,2.0,8.964328051946461e-05,0.9999999999631726,good
8,0.00015,2000.0,2.60550110591502,0.020983896656189195,diverged
8,0.0002,1500.0,3.3253354447310413,0.024773920105615427,diverged
8,0.00025,1200.0,3.008312047209031,0.03215924918314178,diverged
8,0.0003,1000.0,3.545545440127061,0.03487111352692727,diverged
8,0.0004,750.0,3.6772752751207842,0.04862653424919949,diverged
8,0.0005,600.0,3.612817778714644,0.06654937901405392,diverged
8,0.00075,400.0,0.7750558025031241,0.6320496975740382,marginal
8,0.001,300.0,0.6360794316470587,0.7716236685807353,marginal
8,0.0015,200.0,0.2319551140185296,0.972803840006845,good
8,0.002,150.0,0.0014742121348213877,0.9999990638526022,good
8,0.0025,120.0,0.000898984137924346,0.9999996458964497,good
8,0.003,100.0,0.0006308439771054009,0.9999998427181874,good
8,0.005,60.0,0.0002885154505890447,0.9999999858496871,good
8,0.0075,40.0,0.00022723374193744412,0.9999999954136229,good
8,0.01,30.0,0.00021329992831918508,0.9999999954436152,good
8,0.015,20.0,0.00019876267428833,0.9999999952969743,good
8,0.02,15.0,0.0001871319913086016,0.999999995815121,good
8,0.03,10.0,0.000168641997890881,0.9999999970843345,good
8,0.05,6.0,0.00014438089605119518,0.9999999986752914,good
8,0.08,3.75,0.00012267263749795706,0.99999999957749,good
8,0.12,2.5,0.00010267520611714065,0.9999999998988099,good
8,0.15,2.0,8.96434673994683e-05,0.9999999999631585,good
16,0.00015,2000.0,2.6092273622601065,0.020933034014938647,diverged
16,0.0002,1500.0,3.3226223663368812,0.025097113372093846,diverged
16,0.00025,1200.0,3.460695694006782,0.028879416815280258,diverged
16,0.0003,1000.0,4.090416524106486,0.032973754679330454,diverged
16,0.0004,750.0,3.6932375053352886,0.04863648116147801,diverged
16,0.0005,600.0,3.6192762279974535,0.0663376615944867,diverged
16,0.00075,400.0,0.776668936451046,0.6301389508718267,marginal
16,0.001,300.0,0.6342957732608023,0.7730976115187774,marginal
16,0.0015,200.0,0.23162936124978684,0.9728779954697184,good
16,0.002,150.0,0.0014704405836183832,0.9999990671004134,good
16,0.0025,120.0,0.0008990434797611877,0.9999996458299725,good
16,0.003,100.0,0.0006308456035371999,0.9999998427167336,good
16,0.005,60.0,0.0002885154492284468,0.9999999858496882,good
16,0.0075,40.0,0.00022723374129117617,0.9999999954136233,good
16,0.01,30.0,0.0002132999292165926,0.9999999954436155,good
16,0.015,20.0,0.00019876267442640142,0.9999999952969745,good
16,0.02,15.0,0.00018713199128910353,0.9999999958151212,good
16,0.03,10.0,0.00016864199792015718,0.9999999970843347,good
16,0.05,6.0,0.00014438089607819133,0.999999998675291,good
16,0.08,3.75,0.0001226726375010907,0.99999999957749,good
16,0.12,2.5,0.00010267520612452302,0.9999999998988099,good
16,0.15,2.0,8.964346731933058e-05,0.9999999999631585,good
