dq_lu, dq_hhl,
1.0481546553246036e-05,1.6155035923064154e-06
4.1381815150844335e-06,6.141223184057877e-07
2.0234442871548363e-05,3.0779722382407144e-06
2.5675828655796536e-05,3.993212024311593e-06
1.3302353701823756e-05,2.145037041520264e-06
4.323991227851889e-05,6.824222703611048e-06
2.6017173538123706e-05,4.2191588834672405e-06
1.7742074023550423e-05,3.0085726400558594e-06
4.503748283382425e-05,7.332527901535716e-06
1.5130076377863348e-05,2.5938944855567963e-06
9.258351038175867e-06,1.6248149292932817e-06
2.283903037929205e-05,3.891810925529672e-06
-1.2289075605751594e-05,-1.9185794556258467e-06
-1.349331653197512e-05,-2.1937150667017944e-06
-2.6897286303526717e-05,-4.132454589891836e-06
