xp, rho, u, p, Mach
0.05,1.0061950045804908,1.4918323700406078,0.7176368133458854,1.492948175504666
0.15,1.0018272614480233,1.497264107019734,0.7174941525440006,1.4952769392792586
0.25,0.975819402133292,1.5196477258327246,0.6879059496964243,1.5296747511073994
0.35,0.8815004702089608,1.5878960577747445,0.6020801819983214,1.6238359824892394
0.45,0.7162342852325733,1.7003012592338183,0.44983607631292905,1.813269140875031
0.55,0.5790862413737594,1.7982263570912644,0.33448755410652525,1.9996868145684379
0.65,0.5217161312736791,1.8243558802552367,0.2898811006355356,2.068486661738189
0.75,0.4966157212652474,1.8575649285628766,0.26675235606543096,2.1420819659451635
0.85,0.48764444355825304,1.8698770934074402,0.26146592606702274,2.1582071823477276
0.95,0.48551146017946395,1.8717401195618906,0.25997115442736973,2.1618158311117712
