xp, rho, u, p, Mach
0.05,0.9999999999999997,1.5000000000000004,0.715557629360229,1.4986662701183795
0.15,0.9999999999999997,1.5000000000000004,0.7142857142857143,1.5
0.25,0.9581206122399939,1.5622461234961758,0.6783907678041124,1.5691178577338225
0.35,0.9230249881478199,1.5524400393608928,0.6124898777845896,1.6106756335140175
0.45,0.7294512736145443,1.716359468803702,0.4548351848854601,1.8370261955117877
0.55,0.6146706965770358,1.7456674389670945,0.35061273914767127,1.9534617069000053
0.65,0.5461788093353349,1.7906535039425822,0.30166096255071906,2.03636397774174
0.75,0.5305402906908013,1.8288902469388704,0.28222237166284925,2.1192739167208527
0.85,0.5337690529691115,1.7659801681171294,0.30060111933003975,1.9888553727160077
0.95,0.5220109638794463,1.8641121458449736,0.270414184977232,2.1889361615902154
