xp, rho, u, p, Mach
0.05,1.002058727444142,1.4981815168835997,0.7171821568048011,1.49669141129912
0.15,1.0024420383141812,1.4964089742369966,0.717671175523492,1.494697024183348
0.25,0.9743682039957307,1.522753812473863,0.6870898025217528,1.5325705571565915
0.35,0.8825037392713667,1.5904709311271643,0.5997531010412533,1.6305485859629263
0.45,0.7171858492339259,1.6948012620540698,0.4512792600844869,1.8057096938285946
0.55,0.582908697790257,1.7823953260390586,0.338486235622368,1.976832070651809
0.65,0.5210169663079945,1.829284600861809,0.28816634038759564,2.0788424088380664
0.75,0.4960246315988315,1.8561274874836147,0.2692669265640007,2.129138432749358
0.85,0.48654915768143936,1.8682982219728752,0.26248108433556033,2.1497924801918744
0.95,0.4860601501544401,1.8677605473105994,0.2606396325858922,2.155668426163021
