iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,2.2359002440937656,0.606707076709159,1.0773543070255684,1.8629181736574059
2.0,0.2765797058412593,0.08301384061505,0.14982215986376157,0.217159748487914
3.0,0.13321289414507437,0.04467620934787465,0.08327019230206725,0.09389242013489911
4.0,0.07880417525142072,0.02704200509505356,0.04969860360609541,0.05485322959589461
5.0,0.061924103450176966,0.021770417435544285,0.03973890140152957,0.04220738357432121
6.0,0.05876791148683529,0.020661995089429057,0.03755456349069237,0.040204528855248035
7.0,0.051716970797458475,0.018323447239640415,0.032880391897856895,0.035465140326306814
8.0,0.04348951670355671,0.015621880426816717,0.027571054953216004,0.029784758582300484
9.0,0.04015369395621348,0.014514793404727187,0.025446649154733637,0.027461026156049537
10.0,0.034519454572627374,0.01256325159812528,0.021739241248728978,0.02368887593794708
11.0,0.030212299969880275,0.011051767459591565,0.019100349558818137,0.020635361693464364
12.0,0.02910412145130887,0.010666330158291592,0.018391396406904598,0.019875508159817024
13.0,0.02726641643794955,0.010061598491435661,0.01725261370844347,0.01856257044140314
14.0,0.025462579158051557,0.009441044715823934,0.016068945403296512,0.01734931138920881
