iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,7.695912901455148,1.984940773746269,2.8602450868224985,6.86338717797642
2.0,5.573174836556388,1.4965986226979144,2.1041258901229605,4.938939618974734
3.0,4.149634588646263,1.1855363648715027,1.5534516749174858,3.6607046644809738
4.0,3.0922201379137713,0.9576256348513852,1.1184461889773678,2.719164696585506
5.0,2.3335096074023767,0.7957661052013562,0.8069563704817625,2.039814895962562
6.0,1.8149651260792694,0.6752194275516906,0.5903809411983761,1.5778553412180805
7.0,1.4870431079187412,0.5909604587224695,0.4660035619653774,1.2825379609472534
8.0,1.2768222311733777,0.5238262092693141,0.3947503630054279,1.0954694260490276
9.0,1.10259614203242,0.46561576016113115,0.3420953751152324,0.9390905018362803
10.0,0.9599479810773527,0.41354039139423376,0.3059865670993031,0.8104669591135553
11.0,0.8388031263615935,0.3637668655539188,0.2767480656999526,0.7033312594008568
12.0,0.7328870834105625,0.3137286600478417,0.2502356824500334,0.6132535430989311
13.0,0.6222563391520114,0.26370889227750033,0.21705690889704396,0.5201412020295039
14.0,0.5231082724265981,0.21895311121856234,0.18770795047110578,0.4364258529221072
