xp, rho, u, p, Mach
0.05,1.0039783082576847,1.4949901339311926,0.7174676773008842,1.4946355348171971
0.15,1.0025436521490503,1.4975133830265095,0.7171310002356243,1.4964392538708764
0.25,0.9753565433507168,1.5188036421306674,0.6896700934306039,1.5265063530399676
0.35,0.8820261240711899,1.5937808573664993,0.5990441432698995,1.634466032021601
0.45,0.7182515502232338,1.6940562481417814,0.4516174820095629,1.8055799432864441
0.55,0.5839215950718715,1.7807219971210038,0.33858635751923044,1.9763990958059223
0.65,0.5195196043287647,1.8356252738597176,0.28693340831648684,2.0875189304722532
0.75,0.49585202434885595,1.8591387142782292,0.26766435299365704,2.1385950328997865
0.85,0.4873004806228043,1.8696824996971555,0.26150636712949804,2.1570545656732594
0.95,0.4854345529297138,1.869503459417805,0.25976627583300066,2.159912780243365
