xp, rho, u, p, Mach
0.05,1.0037785783674738,1.4960216203643482,0.7181122824476635,1.494846628502193
0.15,1.004017207146198,1.4950089711825771,0.7180119335584844,1.494116726611752
0.25,0.9757727601484331,1.51956675093243,0.6889239606228815,1.528426168493512
0.35,0.8830046859207179,1.5912316465578376,0.5997511394623021,1.6317940788930019
0.45,0.7179633721164584,1.6924750562820399,0.452358793678527,1.8020543478050421
0.55,0.5824897461138705,1.7823330961222834,0.3384346599928016,1.9762031131608218
0.65,0.518605552335111,1.8362698075876418,0.2863444591611468,2.08855859889921
0.75,0.49487862158463136,1.8602043671633908,0.2673236356246342,2.139081387239516
0.85,0.4868182743446281,1.8693985376234696,0.2609433181060241,2.15798403206235
0.95,0.4840683499372579,1.8727981737101442,0.2587864244704543,2.1647590213944197
