[burgers] q=8 N=256 nu=3.0e-02 cfl=0.1 dt=3.9063e-04 n_steps=920 method=cole_hopf_circuit
[burgers] reference trajectory skipped (--no-classical-reference)
[burgers] running method=cole_hopf_circuit ...
[cole_hopf_circuit] propagator=qft-diagonal q=8 encoding=binary nu=3.0e-02 dt=3.9063e-04 n_steps=920 shots=150000
[_run_shots_measure_reprepare] n_segments=92 segment_size=10 shots=150000
[_run_shots_measure_reprepare] segment 1/92 steps 1-10 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 1/92 done in 263.8s p_success=0.9966 cumulative_norm=8.7150e+00
[_run_shots_measure_reprepare] segment 2/92 steps 11-20 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 2/92 done in 260.6s p_success=0.9962 cumulative_norm=8.6983e+00
[_run_shots_measure_reprepare] segment 3/92 steps 21-30 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 3/92 done in 259.0s p_success=0.9963 cumulative_norm=8.6820e+00
[_run_shots_measure_reprepare] segment 4/92 steps 31-40 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 4/92 done in 260.9s p_success=0.9963 cumulative_norm=8.6658e+00
[_run_shots_measure_reprepare] segment 5/92 steps 41-50 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 5/92 done in 262.6s p_success=0.9963 cumulative_norm=8.6498e+00
[_run_shots_measure_reprepare] segment 6/92 steps 51-60 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 6/92 done in 261.2s p_success=0.9963 cumulative_norm=8.6339e+00
[_run_shots_measure_reprepare] segment 7/92 steps 61-70 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 7/92 done in 259.9s p_success=0.9963 cumulative_norm=8.6180e+00
[_run_shots_measure_reprepare] segment 8/92 steps 71-80 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 8/92 done in 263.0s p_success=0.9964 cumulative_norm=8.6024e+00
[_run_shots_measure_reprepare] segment 9/92 steps 81-90 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 9/92 done in 264.5s p_success=0.9964 cumulative_norm=8.5871e+00
[_run_shots_measure_reprepare] segment 10/92 steps 91-100 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 10/92 done in 261.8s p_success=0.9965 cumulative_norm=8.5719e+00
[_run_shots_measure_reprepare] segment 11/92 steps 101-110 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 11/92 done in 262.6s p_success=0.9965 cumulative_norm=8.5569e+00
[_run_shots_measure_reprepare] segment 12/92 steps 111-120 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 12/92 done in 263.2s p_success=0.9966 cumulative_norm=8.5422e+00
[_run_shots_measure_reprepare] segment 13/92 steps 121-130 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 13/92 done in 263.8s p_success=0.9966 cumulative_norm=8.5277e+00
[_run_shots_measure_reprepare] segment 14/92 steps 131-140 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 14/92 done in 259.5s p_success=0.9966 cumulative_norm=8.5131e+00
[_run_shots_measure_reprepare] segment 15/92 steps 141-150 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 15/92 done in 260.1s p_success=0.9966 cumulative_norm=8.4985e+00
[_run_shots_measure_reprepare] segment 16/92 steps 151-160 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 16/92 done in 263.0s p_success=0.9966 cumulative_norm=8.4841e+00
[_run_shots_measure_reprepare] segment 17/92 steps 161-170 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 17/92 done in 259.5s p_success=0.9966 cumulative_norm=8.4698e+00
[_run_shots_measure_reprepare] segment 18/92 steps 171-180 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 18/92 done in 259.2s p_success=0.9967 cumulative_norm=8.4557e+00
[_run_shots_measure_reprepare] segment 19/92 steps 181-190 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 19/92 done in 263.0s p_success=0.9966 cumulative_norm=8.4415e+00
[_run_shots_measure_reprepare] segment 20/92 steps 191-200 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 20/92 done in 263.0s p_success=0.9967 cumulative_norm=8.4274e+00
[_run_shots_measure_reprepare] segment 21/92 steps 201-210 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 21/92 done in 260.8s p_success=0.9967 cumulative_norm=8.4134e+00
[_run_shots_measure_reprepare] segment 22/92 steps 211-220 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 22/92 done in 261.1s p_success=0.9967 cumulative_norm=8.3997e+00
[_run_shots_measure_reprepare] segment 23/92 steps 221-230 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 23/92 done in 260.9s p_success=0.9967 cumulative_norm=8.3857e+00
[_run_shots_measure_reprepare] segment 24/92 steps 231-240 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 24/92 done in 260.7s p_success=0.9967 cumulative_norm=8.3719e+00
[_run_shots_measure_reprepare] segment 25/92 steps 241-250 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 25/92 done in 260.9s p_success=0.9968 cumulative_norm=8.3584e+00
[_run_shots_measure_reprepare] segment 26/92 steps 251-260 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 26/92 done in 262.2s p_success=0.9968 cumulative_norm=8.3449e+00
[_run_shots_measure_reprepare] segment 27/92 steps 261-270 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 27/92 done in 262.5s p_success=0.9968 cumulative_norm=8.3314e+00
[_run_shots_measure_reprepare] segment 28/92 steps 271-280 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 28/92 done in 260.2s p_success=0.9968 cumulative_norm=8.3179e+00
[_run_shots_measure_reprepare] segment 29/92 steps 281-290 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 29/92 done in 262.1s p_success=0.9968 cumulative_norm=8.3045e+00
[_run_shots_measure_reprepare] segment 30/92 steps 291-300 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 30/92 done in 261.6s p_success=0.9968 cumulative_norm=8.2910e+00
[_run_shots_measure_reprepare] segment 31/92 steps 301-310 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 31/92 done in 261.4s p_success=0.9968 cumulative_norm=8.2777e+00
[_run_shots_measure_reprepare] segment 32/92 steps 311-320 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 32/92 done in 260.7s p_success=0.9968 cumulative_norm=8.2644e+00
[_run_shots_measure_reprepare] segment 33/92 steps 321-330 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 33/92 done in 259.9s p_success=0.9968 cumulative_norm=8.2510e+00
[_run_shots_measure_reprepare] segment 34/92 steps 331-340 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 34/92 done in 261.4s p_success=0.9968 cumulative_norm=8.2378e+00
[_run_shots_measure_reprepare] segment 35/92 steps 341-350 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 35/92 done in 262.3s p_success=0.9967 cumulative_norm=8.2243e+00
[_run_shots_measure_reprepare] segment 36/92 steps 351-360 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 36/92 done in 263.3s p_success=0.9968 cumulative_norm=8.2111e+00
[_run_shots_measure_reprepare] segment 37/92 steps 361-370 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 37/92 done in 263.5s p_success=0.9968 cumulative_norm=8.1979e+00
[_run_shots_measure_reprepare] segment 38/92 steps 371-380 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 38/92 done in 262.3s p_success=0.9968 cumulative_norm=8.1847e+00
[_run_shots_measure_reprepare] segment 39/92 steps 381-390 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 39/92 done in 277.3s p_success=0.9968 cumulative_norm=8.1717e+00
[_run_shots_measure_reprepare] segment 40/92 steps 391-400 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 40/92 done in 271.7s p_success=0.9968 cumulative_norm=8.1586e+00
[_run_shots_measure_reprepare] segment 41/92 steps 401-410 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 41/92 done in 271.7s p_success=0.9968 cumulative_norm=8.1456e+00
[_run_shots_measure_reprepare] segment 42/92 steps 411-420 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 42/92 done in 267.4s p_success=0.9968 cumulative_norm=8.1326e+00
[_run_shots_measure_reprepare] segment 43/92 steps 421-430 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 43/92 done in 269.4s p_success=0.9968 cumulative_norm=8.1195e+00
[_run_shots_measure_reprepare] segment 44/92 steps 431-440 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 44/92 done in 270.1s p_success=0.9968 cumulative_norm=8.1066e+00
[_run_shots_measure_reprepare] segment 45/92 steps 441-450 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 45/92 done in 270.5s p_success=0.9968 cumulative_norm=8.0936e+00
[_run_shots_measure_reprepare] segment 46/92 steps 451-460 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 46/92 done in 267.8s p_success=0.9968 cumulative_norm=8.0807e+00
[_run_shots_measure_reprepare] segment 47/92 steps 461-470 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 47/92 done in 268.7s p_success=0.9968 cumulative_norm=8.0677e+00
[_run_shots_measure_reprepare] segment 48/92 steps 471-480 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 48/92 done in 271.0s p_success=0.9968 cumulative_norm=8.0547e+00
[_run_shots_measure_reprepare] segment 49/92 steps 481-490 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 49/92 done in 270.9s p_success=0.9968 cumulative_norm=8.0418e+00
[_run_shots_measure_reprepare] segment 50/92 steps 491-500 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 50/92 done in 265.5s p_success=0.9968 cumulative_norm=8.0287e+00
[_run_shots_measure_reprepare] segment 51/92 steps 501-510 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 51/92 done in 265.0s p_success=0.9968 cumulative_norm=8.0157e+00
[_run_shots_measure_reprepare] segment 52/92 steps 511-520 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 52/92 done in 266.6s p_success=0.9968 cumulative_norm=8.0027e+00
[_run_shots_measure_reprepare] segment 53/92 steps 521-530 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 53/92 done in 272.2s p_success=0.9968 cumulative_norm=7.9898e+00
[_run_shots_measure_reprepare] segment 54/92 steps 531-540 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 54/92 done in 267.6s p_success=0.9968 cumulative_norm=7.9770e+00
[_run_shots_measure_reprepare] segment 55/92 steps 541-550 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 55/92 done in 273.3s p_success=0.9968 cumulative_norm=7.9641e+00
[_run_shots_measure_reprepare] segment 56/92 steps 551-560 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 56/92 done in 272.5s p_success=0.9968 cumulative_norm=7.9512e+00
[_run_shots_measure_reprepare] segment 57/92 steps 561-570 depth=2579 transpiling ...
[_run_shots_measure_reprepare] segment 57/92 done in 268.8s p_success=0.9967 cumulative_norm=7.9382e+00
