dq_lu, dq_hhl,
6.39696492544527e-08,6.296707952894122e-08
2.9073696554001646e-08,2.379931858454265e-08
1.4178492833165398e-07,1.294822954826119e-07
2.308701132053125e-07,2.0081887625207795e-07
1.5455495592219361e-07,1.4593466221829154e-07
4.478134981811642e-07,4.1550094698330633e-07
3.6929493963775246e-07,3.407543957190145e-07
2.960914332528715e-07,2.9572509781031086e-07
6.857852802531528e-07,6.519449860541206e-07
5.531264508920393e-07,5.430209918624653e-07
5.247457709674371e-07,5.320625145847534e-07
1.0281580488832218e-06,1.0319138983202437e-06
6.409350408280775e-07,6.543730948985923e-07
6.352569026464909e-07,6.555837769511778e-07
1.2025835918591066e-06,1.2246362935642664e-06
