iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,12.813893409720746,2.8741391999046155,5.212686702332953,11.347382320102625
2.0,5.283197777643823,2.9236976554203196,1.829687731251403,4.002051172023972
3.0,3.2368933290004946,1.1452026593685598,1.6622342352937745,2.5304083937816055
4.0,2.543920987105817,1.1408779860949971,1.6988490424935787,1.5112390083305518
5.0,2.28637929058394,0.8778622292626916,1.358689547740122,1.615812761339259
6.0,2.286118227322748,0.8777198600075498,1.3583805043807757,1.6157805550147764
7.0,2.061089545912296,0.8142680557818436,1.1763632556390466,1.483653308689235
8.0,1.3910446653583914,0.6938026026821474,0.5949890886008883,1.0486330120587475
9.0,1.3630887100646751,0.6788822057724667,0.5551019668637963,1.0435475976567792
10.0,1.3554443908948237,0.6713465974627925,0.542763784048592,1.0449548878342187
11.0,1.2229558209547278,0.5755693737225183,0.5045505138599329,0.9538184392238376
12.0,0.7551628120777509,0.2762488923296524,0.4304264377525796,0.5555992295849964
13.0,0.725800023053698,0.25543214238216055,0.41284937900317287,0.5395326536545334
14.0,0.5573913460827581,0.19678777349964233,0.3809814713554874,0.3561078535680033
