dq_lu, dq_hhl,
6.656379496492649e-06,1.1197556186576347e-06
4.924027212997025e-06,8.03694027628478e-07
1.4133199372180015e-05,2.2479782288930663e-06
2.685049612347876e-05,4.216860235946718e-06
1.8388036886914788e-05,3.0323125502178172e-06
5.019921396326313e-05,8.18914640149951e-06
3.674610115948832e-05,5.712982086978888e-06
3.221513745611909e-05,5.520182863525277e-06
6.7153626444517e-05,1.1009348562288227e-05
1.7369828497783673e-05,2.707976772590214e-06
1.5022456874093455e-05,2.735894796886743e-06
3.019298359962531e-05,5.447431745096052e-06
-3.586033891540516e-05,-6.188658901543887e-06
-3.5316770279293866e-05,-5.847733000887235e-06
-7.364008993991739e-05,-1.2372712289504191e-05
