xp, rho, u, p, Mach
0.025,0.9999999999999999,1.5000000000000002,0.7142857142857143,1.5000000000000002
0.075,0.9999999999999999,1.5000000000000002,0.7142857142857143,1.5000000000000002
0.125,0.9999999999999999,1.5000000000000002,0.7142857142857143,1.5000000000000002
0.175,0.9999999999999999,1.5000000000000002,0.7142857142857143,1.5000000000000002
0.225,0.9999999999999999,1.5000000000000002,0.7142857142857143,1.5000000000000002
0.275,0.9999999999999999,1.5000000000000002,0.7142857142857143,1.5000000000000002
0.325,0.9999999999999999,1.5000000000000002,0.7142857142857143,1.5000000000000002
0.375,0.9999999999999999,1.5000000000000002,0.7142857142857143,1.5000000000000002
0.425,0.9999999999999999,1.5000000000000002,0.7126246712069372,1.5017471430077032
0.475,0.9977661245793451,1.5033583151887373,0.711617176650316,1.5044912025174866
0.525,0.9999999999999999,1.4965954075680812,0.7154326013266783,1.4953953544016132
0.575,0.9943615321474262,1.508505660673131,0.7088093022383811,1.5100467033710125
0.625,0.9992519847349759,1.501122862816063,0.7113942621938564,1.5036077393204874
0.675,0.9977661245793451,1.5011194383962458,0.7118010670453297,1.5020565764105016
0.725,0.9999999999999999,1.4992519847349761,0.7115906636224336,1.5020884058160264
0.775,0.9999999999999999,1.4965954075680812,0.7145411731891091,1.4963278562965645
0.825,0.9999999999999999,1.5000000000000002,0.7129690227843887,1.5013844403956327
0.875,0.9977661245793451,1.5033583151887373,0.7092908750169412,1.5069563655808849
0.925,0.996595407568081,1.505124334919765,0.7110873707310078,1.5059353145643004
0.975,0.9999999999999999,1.495847392303057,0.7142192368267042,1.4959170052557664
