xp, rho, u, p, Mach
0.05,1.0,1.5,0.7142857142857144,1.5
0.15,1.0,1.5,0.7142857142857144,1.5
0.25,1.0,1.5,0.7075778969444549,1.5070932064194553
0.35,1.0,1.4507817579148394,0.6811417612863886,1.485659602340174
0.45,0.8022482639157696,1.6502633110451004,0.5018742926741354,1.7633809482735066
0.55,0.7360829448821664,1.6371947284171178,0.42481104478765497,1.8213851759155155
0.65,0.661425453333961,1.6892870066761783,0.40299822038144456,1.8290615131676198
0.75,0.6123186422099576,1.6915360350346942,0.39180251566752095,1.787196754330968
0.85,0.610249473909895,1.764173924604157,0.3479244837914556,1.9746430086600066
0.95,0.7003732727359082,1.5959517308876463,0.39756394689096564,1.7902637571806828
