iters, residual
0.0,12.375368413827264
1.0,1.5260087071320632
2.0,0.32024485734956243
3.0,0.11046166560989479
4.0,0.04079365483400685
5.0,0.008664678197191538
6.0,0.0016548282362038541
7.0,0.00021888040733417254
8.0,4.99231768104162e-05
9.0,1.4144374273236654e-05
10.0,2.904127606102756e-06
11.0,8.66008630731429e-07
12.0,2.8953961404412736e-07
13.0,2.174594815992866e-07
14.0,1.6185750578134236e-07
