case_id,NQ_MATRIX,nx,ny,grid_size,matrix_size,condition_number,circuit_qubits,circuit_gates,circuit_depth,circuit_gates_transpiled,circuit_depth_transpiled,qc_shots,qc_backend
hs_torino_2x2_0,2,2,2,4,4,1.0,133,3600,2662,3600,2662,100,ibm_torino
hs_torino_2x2_1,2,2,2,4,4,1.0,133,3447,2606,3447,2606,1000,ibm_torino
hs_torino_2x2_2,2,2,2,4,4,1.0,133,3528,2670,3528,2670,10000,ibm_torino
hs_torino_2x2_3,2,2,2,4,4,1.0,133,3492,2604,3492,2604,100000,ibm_torino
