iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,3.317680744225597,0.7731777667041101,2.0644485421718537,2.479365620154531
2.0,0.8903279249115357,0.07636721821621299,0.42816208695781505,0.7768713465890776
3.0,0.5116266582654065,0.060241024388374434,0.21171199636213023,0.4618559158707699
4.0,0.47143605097691405,0.057149607127792545,0.19496274296532798,0.4254120372312964
5.0,0.3918764311657625,0.05216481818275633,0.16307304980725423,0.3524956020629695
6.0,0.3605582038103949,0.048616552775864456,0.1488480117859523,0.3247813395479162
7.0,0.15955544524565685,0.025400543601278563,0.06902265222393361,0.14159317064135987
8.0,0.08636936382001721,0.012948257274499773,0.04515625014057154,0.07247704956377567
9.0,0.058940670326531816,0.008657235330992604,0.03195519694579535,0.04876392399223173
10.0,0.04966443308888876,0.007762539564001567,0.027169270754549717,0.040842742564915845
11.0,0.04785042508625954,0.007543549071583547,0.02611400238792242,0.0393804129945831
12.0,0.0322781309111176,0.005029598956555562,0.018080153434383673,0.02626192912260265
13.0,0.0290196516523057,0.004610591788355633,0.015968727438228178,0.0237882821865282
14.0,0.029002128968940864,0.004607836058506187,0.015959479809647077,0.023773647927789212
