dq_lu, dq_hhl,
3.7644450887553547e-06,2.4797045415400322e-06
1.4111892567905629e-06,8.460195044892371e-07
7.325395205112634e-06,4.873382118669503e-06
8.550502132729683e-06,5.8502834079368805e-06
4.01516854170625e-06,2.7709266961666904e-06
1.6598117935634585e-05,1.1167049598407431e-05
9.192037424721546e-06,6.40256959627056e-06
6.326887119280819e-06,4.48397593309355e-06
1.717172282723231e-05,1.1851138122465406e-05
6.4329227205326085e-06,4.710437249959968e-06
4.357526455685933e-06,3.286533604131031e-06
1.0618382052367497e-05,7.808252136366993e-06
-1.827369478500765e-06,-1.082231786622202e-06
-3.2047868419831454e-06,-2.216447806986886e-06
-4.136961217651636e-06,-2.525207502889951e-06
