seg,nu,diff_num,relL2,cos,src,verdict
5,0.01,0.256,200.53748051018735,0.05159350544634297,topup,diverged
5,0.0125,0.32000000000000006,252.58993293719217,0.051755818353661075,topup,diverged
5,0.015,0.384,266.10563450453293,0.05885183675570458,borrowed,diverged
5,0.02,0.512,303.6512285851465,0.05579271830960876,borrowed,diverged
5,0.03,0.768,1.6153376352788666,0.7543562148269858,borrowed,marginal
5,0.05,1.2800000000000002,1.8361458481930486,0.6869251020246937,borrowed,marginal
5,0.08,2.048,2.242228703111893,0.5777650270125055,borrowed,diverged
5,0.1,2.5600000000000005,2.511547676048791,0.539377997253576,topup,diverged
10,0.01,0.256,201.14791657427978,0.05282188074761211,topup,diverged
10,0.0125,0.32000000000000006,217.6678210904489,0.06090578889349697,topup,diverged
10,0.015,0.384,218.06426144395348,0.059161266741095946,borrowed,diverged
10,0.02,0.512,0.41747292313915574,0.9504060222809577,borrowed,good
10,0.03,0.768,0.6178091118322647,0.8888415527758723,borrowed,marginal
10,0.05,1.2800000000000002,0.8988154487772537,0.7858085528490577,borrowed,marginal
10,0.08,2.048,1.1736363163686059,0.6866567181911429,borrowed,marginal
10,0.1,2.5600000000000005,1.3296072127212508,0.6423935973171849,topup,marginal
