iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,1.8527256142448116,0.6887279136599179,0.803967146065656,1.5204877147387659
2.0,0.7694463349043936,0.2769576756989583,0.39057143692922863,0.6023255438915674
3.0,0.21616135842810383,0.08241283856183719,0.09266951495796207,0.17704863149744982
4.0,0.048876142032541245,0.018729028630987316,0.02121661099851724,0.03984916767339563
5.0,0.014232524092124475,0.005904303942987388,0.006263168650005204,0.011334754317730896
6.0,0.0047338888997015705,0.002088847695705497,0.0016303800214795884,0.003922789875130173
7.0,0.002304102414871017,0.0010759891148652322,0.0008479363624291993,0.0018526033812385004
8.0,0.0015404661976116086,0.0007362909999800765,0.0005646321422061301,0.001229675653707116
9.0,0.0010809074304140576,0.0004986296542974133,0.0003849615731991787,0.0008783700405521446
10.0,0.0008302513805278463,0.000377657017166431,0.0002999213669493375,0.000675825203658897
11.0,0.0006240983534326953,0.0002801779248208537,0.00022899016578926533,0.0005084905005723178
12.0,0.00043565190045629867,0.0002072845441593231,0.0001568059765984782,0.0003496249159125303
13.0,0.00031894815576256576,0.00015187577323710365,0.00011201061924880931,0.00025712894964097693
14.0,0.00023604483632081417,0.00011346755260175012,8.097881120730562e-05,0.00019048546242624552
