xp, rho, u, p, Mach
0.025,1.0,1.5,0.7142857142857144,1.5
0.075,1.0,1.5,0.7142857142857144,1.5
0.125,0.9919117184289464,1.5122313529835059,0.7106163083906626,1.5099867819760153
0.175,0.990574611181956,1.5142726081079307,0.7025047052422578,1.5197040686353518
0.225,0.9813818884012636,1.5202152557139261,0.7001766456785381,1.5210947856950865
0.275,0.9691014114359212,1.5261084866989965,0.6809225054162213,1.5387113541643131
0.325,0.9440370798702521,1.5400256795664584,0.6518416556280228,1.5663449673685437
0.375,0.8720010200994313,1.5999976708632213,0.5859449011889858,1.649625796441579
0.425,0.7916507124709486,1.6465817895315358,0.510475887730695,1.7329996584027594
0.475,0.7033369508575501,1.6929085558064805,0.43720917213719895,1.814707219601056
0.525,0.6238515408772533,1.757822595368309,0.3608112173748549,1.9534919926074026
0.575,0.5587550043625562,1.8074663154520179,0.32147638679013885,2.0139207112101696
0.625,0.5322989101253063,1.8225174242324926,0.2990610484504646,2.054970226512957
0.675,0.5159920387008182,1.827844792235413,0.28863664335123645,2.0654803404937585
0.725,0.5107570520442031,1.8325376797585904,0.2783210654437587,2.098084822095367
0.775,0.50757353727236,1.8317726586773564,0.2748064518329077,2.1039895479893067
0.825,0.5026360576446822,1.8416626981685453,0.2739081602913402,2.108484480166168
0.875,0.4973256750879108,1.8532270982741268,0.27473319218656034,2.1073151932372065
0.925,0.500602787477095,1.8559741633069522,0.27327199123227536,2.123034147008249
0.975,0.49846417842332863,1.8588723655258161,0.27040251024826994,2.133031016681443
