xp, rho, u, p, Mach
0.025,1.0,1.5,0.7142857142857144,1.5
0.075,1.0,1.5,0.7142857142857144,1.5
0.125,1.0,1.4796472504035634,0.7264145171603493,1.4672425606024944
0.175,1.0,1.5,0.7142857142857144,1.5
0.225,1.0,1.5,0.7017234070001303,1.5133669997332753
0.275,0.9796472504035522,1.518867877024527,0.6883732219770365,1.5313654955168317
0.325,0.9676019898569099,1.5167413928881448,0.6657627502647654,1.5453830745302266
0.375,0.8930385831091471,1.6266965062371035,0.5932983582648401,1.6867124637853277
0.425,0.841264830614914,1.6285595782741369,0.5489692988795408,1.7038524043942669
0.475,0.7704264955395047,1.6305086502748336,0.49925306033542155,1.711844558022761
0.525,0.7099120894463617,1.6699817036429276,0.4545727723571114,1.7637956681635185
0.575,0.6818553746363265,1.6409136529665125,0.42290498226140827,1.7609476443299297
0.625,0.6643195008907483,1.6671225928568254,0.4018531868654535,1.8115833123389116
0.675,0.6312601101424229,1.7526871555032364,0.36022283117577103,1.9609157821096133
0.725,0.6306229520846638,1.7003273335053277,0.3946900349558012,1.8164578483940337
0.775,0.6106338783132815,1.7527116253599664,0.3632047072896561,1.920707193509107
0.825,0.6333818698977762,1.690041103185007,0.39163796334202694,1.816450935373406
0.875,0.6247459158494707,1.7226006905455595,0.3722321552036503,1.886102838028019
0.925,0.6262795675685928,1.7405147831897527,0.3673126755526246,1.920789894642444
0.975,0.6376988607799697,1.6893917013708593,0.3875993724231418,1.831397540643598
