case_id,NQ_MATRIX,nx,ny,grid_size,matrix_size,condition_number,circuit_qubits,circuit_gates,circuit_depth,circuit_gates_transpiled,circuit_depth_transpiled,qc_shots,qc_backend
hs_torino_2x2_0,2,2,2,4,4,1.0,133,3564,2676,3564,2676,100,ibm_torino
hs_torino_2x2_1,2,2,2,4,4,1.0,133,3510,2638,3510,2638,1000,ibm_torino
hs_torino_2x2_2,2,2,2,4,4,1.0,133,3564,2638,3564,2638,10000,ibm_torino
hs_torino_2x2_3,2,2,2,4,4,1.0,133,3456,2593,3456,2593,100000,ibm_torino
