iters, residual_total, residual_rho, residual_rhou, residual_rhoE
0.0,12.375368413827264,3.056753228741153,4.585129843111731,11.080730454186686
1.0,3.2887901690780756,0.9890219665709317,1.2064611476490423,2.895242273986431
2.0,1.530399447291914,0.5345071996242844,0.5901096559067079,1.3069793861522332
3.0,0.6825559740422359,0.2946772841060133,0.23993059153303914,0.5669931808930819
4.0,0.39117628374072544,0.1553810332699895,0.15626048262797407,0.3232000634746651
5.0,0.1942503374252216,0.0799767754078116,0.078701504099844,0.15856538789282845
6.0,0.08287156667334813,0.03734172333949748,0.03222571164919916,0.06659426228763468
7.0,0.035875330958711794,0.016793049114276204,0.01294777739491261,0.028937655975811202
8.0,0.0186958786040811,0.0088782476907416,0.006699021681318187,0.015027830955717055
9.0,0.01257328692208968,0.005966629787533165,0.0044129510767731825,0.010149518993416373
10.0,0.008617187525494103,0.004124276826828293,0.0029517762690335924,0.0069665829760929745
11.0,0.006343089481021894,0.003051407065862449,0.002146583795827392,0.005129900300215063
12.0,0.0048054766793923925,0.002280154944870836,0.001653635187785157,0.0038934547909644413
13.0,0.003428063716868725,0.0016906838996005723,0.0011445197151276594,0.002753776210992338
14.0,0.002749771130804555,0.001332623827229854,0.0009378427642588642,0.00221490540575274
