xp, rho, u, p, Mach
0.025,0.9999999999999997,1.5000000000000004,0.7142857142857143,1.5
0.075,0.9999999999999997,1.5000000000000004,0.7142857142857143,1.5
0.125,0.9999999999999997,1.5000000000000004,0.7142857142857143,1.5
0.175,0.9999999999999997,1.5000000000000004,0.7142857142857143,1.5
0.225,0.9999999999999997,1.5000000000000004,0.7142857142857143,1.5
0.275,0.9999999999999997,1.5000000000000004,0.7142857142857143,1.5
0.325,0.9999999999999997,1.5000000000000004,0.7142857142857143,1.5
0.375,0.9999999999999997,1.5000000000000004,0.7090217155670078,1.5055579374147465
0.425,0.9966791501535238,1.4994713009030491,0.7131958767001104,1.4981228045761565
0.475,0.9999999999999997,1.4902826592502034,0.7037310836590643,1.5014167727012062
0.525,0.9874712095696476,1.5190316289360162,0.6785308146757666,1.5487461235048743
0.575,0.9928977415926572,1.4920039529038458,0.6814783473682029,1.5220614502579184
0.625,0.99136429644257,1.4943117889170061,0.6660406219785966,1.5407901129200494
0.675,0.9893762928880325,1.4673950925410741,0.7117524566420856,1.4621748410670814
0.725,0.9819869740564109,1.5190301164954008,0.6680744240380515,1.556477356565348
0.775,0.9842188049661009,1.496744067016279,0.6612424701336558,1.543295134489043
0.825,0.9745021406582676,1.509706205466536,0.6680495615535486,1.5410455630777626
0.875,0.9756223667546724,1.5218741305130519,0.6538006408734994,1.5712052445024545
0.925,0.9988130284900931,1.4993664042944725,0.6695259635704413,1.547754749713873
0.975,0.9999999999999997,1.478047548324727,0.6880146331092108,1.506002004714837
