dq_lu, dq_hhl,
6.641792184728589e-07,2.9157987183081907e-07
4.3932760628946605e-07,1.7250097835678146e-07
1.5683034324480546e-06,6.900039145577482e-07
2.639113106986568e-06,1.2145272986107634e-06
1.7382891033023674e-06,8.272856312128903e-07
5.124474617218077e-06,2.479286353349048e-06
3.801171301524548e-06,1.8313908710864371e-06
3.4413010934593236e-06,1.728702284519009e-06
7.014125385950684e-06,3.431487553755298e-06
1.7481027803666763e-06,8.550800357944988e-07
1.6418584158770411e-06,8.374994208516961e-07
2.978908484122125e-06,1.4666206711184537e-06
-5.0546300790564406e-06,-2.645996973119228e-06
-5.2263561713003875e-06,-2.6564190588213628e-06
-1.0841475556495191e-05,-5.635870106806546e-06
